           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.666890 [0004]  docker-compose[12141]             100.112      0.049      0.203 
 4282978.666901 [0000]  <idle>                              0.019      0.000      2.804 
 4282978.666929 [0000]  kworker/u24:1[20440]              191.981      0.011      0.028 
 4282978.666932 [0005]  <idle>                              0.017      0.000      1.301 
 4282978.666957 [0005]  fzf[21278/21277]                   90.140      0.044      0.025 
 4282978.667085 [0004]  <idle>                              0.203      0.000      0.194 
 4282978.667145 [0004]  fzf[21312/21277]                    1.065      0.011      0.059 
 4282978.667161 [0005]  <idle>                              0.025      0.000      0.203 
 4282978.667190 [0005]  fzf[21286/21277]                  100.288      0.041      0.029 
 4282978.667613 [0001]  bash[27334]                         0.000      0.055      2.976 
 4282978.668970 [0011]  <idle>                              0.062      0.000     40.384 
 4282978.669067 [0009]  bash[27336]                         0.000      0.045      2.528 
 4282978.669119 [0010]  base64[27337]                       0.000      0.014      2.233 
 4282978.669758 [0003]  <idle>                              0.028      0.000      4.192 
 4282978.669780 [0003]  fzf[5656/5655]                     10.099      0.011      0.021 
 4282978.670540 [0011]  cat[27338]                          0.000      0.052      1.570 
 4282978.670804 [0007]  <idle>                              0.015      0.000      7.923 
 4282978.670835 [0007]  ksoftirqd/7[52]                     0.000      0.008      0.030 
 4282978.670860 [0009]  <idle>                              2.528      0.000      1.792 
 4282978.670875 [0009]  rcu_sched[8]                        7.979      0.043      0.014 
 4282978.671989 [0006]  <idle>                              0.032      0.000      6.372 
 4282978.672137 [0002]  xclip[27335]                        0.000      0.036      6.619 
 4282978.672228 [0006]  Xorg[1930]                        109.221      0.045      0.238 
 4282978.672238 [0002]  <idle>                              6.691      0.000      0.100 
 4282978.672374 [0002]  xclip[27335]                        0.100      0.044      0.136 
 4282978.672405 [0006]  <idle>                              0.238      0.000      0.177 
 4282978.672497 [0006]  Xorg[1930]                          0.177      0.046      0.091 
 4282978.672512 [0002]  <idle>                              0.136      0.000      0.138 
 4282978.672581 [0002]  xclip[27335]                        0.138      0.046      0.068 
 4282978.672612 [0006]  <idle>                              0.091      0.000      0.114 
 4282978.672701 [0006]  Xorg[1930]                          0.114      0.044      0.089 
 4282978.672719 [0002]  <idle>                              0.068      0.000      0.137 
 4282978.672800 [0002]  xclip[27335]                        0.137      0.047      0.081 
 4282978.672827 [0006]  <idle>                              0.089      0.000      0.125 
 4282978.672940 [0006]  Xorg[1930]                          0.125      0.044      0.112 
 4282978.672947 [0002]  <idle>                              0.081      0.000      0.147 
 4282978.673037 [0002]  xclip[27335]                        0.147      0.045      0.089 
 4282978.673067 [0006]  <idle>                              0.112      0.000      0.126 
 4282978.673159 [0006]  Xorg[1930]                          0.126      0.045      0.092 
 4282978.673174 [0002]  <idle>                              0.089      0.000      0.136 
 4282978.673248 [0002]  xclip[27335]                        0.136      0.046      0.074 
 4282978.673278 [0006]  <idle>                              0.092      0.000      0.118 
 4282978.673369 [0006]  Xorg[1930]                          0.118      0.044      0.090 
 4282978.673388 [0002]  <idle>                              0.074      0.000      0.139 
 4282978.673490 [0002]  xclip[27335]                        0.139      0.050      0.102 
 4282978.673521 [0006]  <idle>                              0.090      0.000      0.152 
 4282978.673590 [0002]  <idle>                              0.102      0.000      0.100 
 4282978.673618 [0006]  Xorg[1930]                          0.152      0.045      0.096 
 4282978.673629 [0006]  <idle>                              0.096      0.000      0.011 
 4282978.673633 [0002]  xclip[27335]                        0.100      0.003      0.043 
 4282978.673658 [0002]  <idle>                              0.043      0.000      0.024 
 4282978.673671 [0006]  Xorg[1930]                          0.011      0.003      0.041 
 4282978.673693 [0006]  <idle>                              0.041      0.000      0.022 
 4282978.673698 [0002]  xclip[27335]                        0.024      0.003      0.039 
 4282978.673762 [0002]  <idle>                              0.039      0.000      0.064 
 4282978.673778 [0006]  Xorg[1930]                          0.022      0.003      0.084 
 4282978.673792 [0006]  <idle>                              0.084      0.000      0.014 
 4282978.673796 [0002]  xclip[27335]                        0.064      0.002      0.033 
 4282978.673820 [0002]  <idle>                              0.033      0.000      0.023 
 4282978.673832 [0006]  Xorg[1930]                          0.014      0.003      0.039 
 4282978.673869 [0002]  xclip[27335]                        0.023      0.002      0.048 
 4282978.673886 [0006]  <idle>                              0.039      0.000      0.054 
 4282978.673954 [0006]  Xorg[1930]                          0.054      0.028      0.068 
 4282978.673978 [0010]  <idle>                              2.233      0.000      4.858 
 4282978.674054 [0010]  xclip[12460]                      111.347      0.045      0.076 
 4282978.674065 [0006]  <idle>                              0.068      0.000      0.110 
 4282978.674138 [0006]  Xorg[1930]                          0.110      0.029      0.073 
 4282978.674155 [0002]  <idle>                              0.048      0.000      0.286 
 4282978.674228 [0006]  <idle>                              0.073      0.000      0.090 
 4282978.674241 [0002]  xclip[27335]                        0.286      0.045      0.085 
 4282978.674268 [0002]  <idle>                              0.085      0.000      0.026 
 4282978.674272 [0006]  Xorg[1930]                          0.090      0.003      0.043 
 4282978.674313 [0006]  <idle>                              0.043      0.000      0.041 
 4282978.674319 [0002]  xclip[27335]                        0.026      0.012      0.051 
 4282978.674355 [0006]  Xorg[1930]                          0.041      0.003      0.042 
 4282978.674375 [0002]  <idle>                              0.051      0.000      0.056 
 4282978.674426 [0006]  <idle>                              0.042      0.000      0.070 
 4282978.674432 [0002]  xclip[27335]                        0.056      0.040      0.056 
 4282978.674458 [0002]  <idle>                              0.056      0.000      0.026 
 4282978.674480 [0006]  Xorg[1930]                          0.070      0.003      0.053 
 4282978.674521 [0006]  <idle>                              0.053      0.000      0.041 
 4282978.674527 [0002]  xclip[27335]                        0.026      0.003      0.069 
 4282978.674557 [0002]  <idle>                              0.069      0.000      0.029 
 4282978.674570 [0006]  Xorg[1930]                          0.041      0.003      0.048 
 4282978.674588 [0006]  <idle>                              0.048      0.000      0.018 
 4282978.674713 [0011]  <idle>                              1.570      0.000      4.173 
 4282978.674730 [0006]  Xorg[1930]                          0.018      0.003      0.141 
 4282978.674770 [0011]  cat[27338]                          4.173      0.039      0.056 
 4282978.674818 [0010]  <idle>                              0.076      0.000      0.764 
 4282978.674843 [0010]  base64[27337]                       5.699      0.062      0.025 
 4282978.675023 [0002]  xclip[27335]                        0.029      0.003      0.466 
 4282978.675024 [0011]  <idle>                              0.056      0.000      0.254 
 4282978.675035 [0002]  <idle>                              0.466      0.000      0.011 
 4282978.675049 [0002]  kworker/2:2[18313]                112.214      0.002      0.014 
 4282978.675067 [0001]  <idle>                              2.976      0.000      7.454 
 4282978.675109 [0001]  bash[27334]                         7.454      0.050      0.041 
 4282978.675286 [0011]  cat[27338]                          0.254      0.039      0.261 
 4282978.675297 [0011]  <idle>                              0.261      0.000      0.011 
 4282978.675313 [0011]  kworker/11:3[610]                 112.179      0.002      0.016 
 4282978.675328 [0009]  <idle>                              0.014      0.000      4.453 
 4282978.675920 [0009]  bash[27336]                         6.260      0.050      0.591 
 4282978.675920 [0010]  <idle>                              0.025      0.000      1.076 
 4282978.675959 [0001]  <idle>                              0.041      0.000      0.849 
 4282978.675989 [0001]  bash[27334]                         0.849      0.045      0.030 
 4282978.676006 [0006]  <idle>                              0.141      0.000      1.276 
 4282978.676039 [0006]  bash[25449]                        10.714      0.004      0.033 
 4282978.676197 [0010]  base64[27337]                       1.076      0.038      0.276 
 4282978.676208 [0010]  <idle>                              0.276      0.000      0.011 
 4282978.676223 [0010]  kworker/10:2[18659]               225.157      0.002      0.014 
 4282978.676228 [0001]  <idle>                              0.030      0.000      0.239 
 4282978.676964 [0006]  <idle>                              0.033      0.000      0.924 
 4282978.676988 [0001]  bash[27334]                         0.239      0.039      0.760 
 4282978.677058 [0005]  <idle>                              0.029      0.000      9.867 
 4282978.677082 [0005]  fzf[21278/21277]                   10.100      0.011      0.023 
 4282978.677452 [0000]  <idle>                              0.028      0.000     10.522 
 4282978.678207 [0006]  bash[25449]                         0.924      0.003      1.243 
 4282978.678859 [0009]  <idle>                              0.591      0.000      2.939 
 4282978.678871 [0009]  rcu_sched[8]                        7.984      0.016      0.011 
 4282978.679190 [0000]  sleep[27339]                        0.000      0.010      1.737 
 4282978.690866 [0009]  <idle>                              0.011      0.000     11.995 
 4282978.690880 [0009]  rcu_sched[8]                       11.995      0.015      0.014 
 4282978.702867 [0009]  <idle>                              0.014      0.000     11.986 
 4282978.702881 [0009]  rcu_sched[8]                       11.986      0.015      0.013 
 4282978.710874 [0009]  <idle>                              0.013      0.000      7.992 
 4282978.710888 [0009]  rcu_sched[8]                        7.992      0.018      0.014 
 4282978.718870 [0009]  <idle>                              0.014      0.000      7.981 
 4282978.718882 [0009]  rcu_sched[8]                        7.981      0.017      0.012 
 4282978.722866 [0001]  <idle>                              0.760      0.000     45.877 
 4282978.722878 [0001]  rcu_sched[8]                        3.983      0.007      0.012 
 4282978.723941 [0006]  <idle>                              1.243      0.000     45.734 
 4282978.724066 [0006]  python[12634]                       0.000      0.012      0.125 
 4282978.727736 [0011]  <idle>                              0.016      0.000     52.422 
 4282978.727736 [0005]  <idle>                              0.023      0.000     50.654 
 4282978.727776 [0011]  fzf[18638/18636]                   99.150      0.013      0.039 
 4282978.727776 [0005]  fzf[8489/4922]                     99.150      0.014      0.039 
 4282978.728681 [0002]  <idle>                              0.014      0.000     53.631 
 4282978.728684 [0008]  <idle>                              0.059      0.000     63.114 
 4282978.728711 [0002]  fzf[4923/4922]                     90.191      0.010      0.030 
 4282978.728711 [0008]  fzf[18637/18636]                   90.195      0.014      0.026 
 4282978.728878 [0005]  <idle>                              0.039      0.000      1.101 
 4282978.728878 [0011]  <idle>                              0.039      0.000      1.102 
 4282978.728940 [0011]  fzf[18638/18636]                    1.102      0.014      0.062 
 4282978.728940 [0005]  fzf[8489/4922]                      1.101      0.014      0.062 
 4282978.728963 [0001]  <idle>                              0.012      0.000      6.085 
 4282978.728967 [0006]  <idle>                              0.125      0.000      4.900 
 4282978.728995 [0001]  fzf[18646/18636]                  100.322      0.050      0.031 
 4282978.729003 [0006]  fzf[10391/4922]                   100.326      0.053      0.036 
 4282978.734858 [0001]  <idle>                              0.031      0.000      5.862 
 4282978.734873 [0001]  rcu_sched[8]                       11.980      0.014      0.015 
 4282978.738816 [0002]  <idle>                              0.030      0.000     10.104 
 4282978.738816 [0008]  <idle>                              0.026      0.000     10.104 
 4282978.738844 [0002]  fzf[4923/4922]                     10.104      0.015      0.027 
 4282978.738844 [0008]  fzf[18637/18636]                   10.104      0.015      0.027 
 4282978.742847 [0001]  <idle>                              0.015      0.000      7.974 
 4282978.742860 [0001]  rcu_sched[8]                        7.974      0.014      0.013 
 4282978.744851 [0006]  <idle>                              0.036      0.000     15.847 
 4282978.744882 [0006]  fzf[31954/24425]                   99.149      0.012      0.030 
 4282978.745801 [0004]  <idle>                              0.059      0.000     78.656 
 4282978.745824 [0004]  fzf[24426/24425]                   90.185      0.013      0.022 
 4282978.745982 [0006]  <idle>                              0.030      0.000      1.099 
 4282978.746032 [0006]  fzf[31954/24425]                    1.099      0.011      0.049 
 4282978.746062 [0007]  <idle>                              0.030      0.000     75.227 
 4282978.746098 [0007]  fzf[24438/24425]                  100.303      0.051      0.035 
 4282978.751409 [0007]  <idle>                              0.035      0.000      5.311 
 4282978.751573 [0007]  redis-server[12225]               100.152      0.012      0.164 
 4282978.751630 [0006]  <idle>                              0.049      0.000      5.598 
 4282978.751690 [0006]  containerd[2012/1459]              86.014      0.012      0.059 
 4282978.751704 [0005]  <idle>                              0.062      0.000     22.763 
 4282978.751715 [0008]  <idle>                              0.027      0.000     12.871 
 4282978.751726 [0003]  <idle>                              0.021      0.000     81.946 
 4282978.751732 [0005]  containerd[1778/1459]              86.073      0.052      0.028 
 4282978.751755 [0003]  containerd[1869/1459]              86.160      0.052      0.028 
 4282978.751778 [0002]  <idle>                              0.027      0.000     12.934 
 4282978.751789 [0008]  containerd[22552/1459]             86.144      0.049      0.074 
 4282978.751791 [0006]  <idle>                              0.059      0.000      0.101 
 4282978.751804 [0002]  containerd[12112/1459]             86.261      0.013      0.026 
 4282978.751806 [0005]  <idle>                              0.028      0.000      0.073 
 4282978.751819 [0006]  containerd[14440/1459]            344.789      0.048      0.028 
 4282978.751824 [0005]  containerd[1778/1459]               0.073      0.006      0.017 
 4282978.754855 [0007]  <idle>                              0.164      0.000      3.282 
 4282978.754866 [0007]  rcu_sched[8]                       11.995      0.007      0.010 
 4282978.755927 [0004]  <idle>                              0.022      0.000     10.103 
 4282978.755950 [0004]  fzf[24426/24425]                   10.103      0.013      0.022 
 4282978.759023 [0010]  <idle>                              0.014      0.000     82.800 
 4282978.759057 [0010]  fzf[20432/5655]                    99.151      0.012      0.033 
 4282978.759971 [0003]  <idle>                              0.028      0.000      8.216 
 4282978.759993 [0003]  fzf[5656/5655]                     90.191      0.012      0.021 
 4282978.760158 [0010]  <idle>                              0.033      0.000      1.101 
 4282978.760207 [0010]  fzf[20432/5655]                     1.101      0.011      0.049 
 4282978.760236 [0000]  <idle>                              1.737      0.000     81.046 
 4282978.760265 [0000]  fzf[5657/5655]                    100.306      0.050      0.028 
 4282978.762849 [0007]  <idle>                              0.010      0.000      7.982 
 4282978.762864 [0007]  rcu_sched[8]                        7.982      0.018      0.015 
 4282978.766295 [0004]  <idle>                              0.022      0.000     10.344 
 4282978.766324 [0004]  fzf[21312/21277]                   99.149      0.012      0.029 
 4282978.766850 [0000]  <idle>                              0.028      0.000      6.585 
 4282978.766854 [0001]  <idle>                              0.013      0.000     23.994 
 4282978.766859 [0000]  watchdog/0[11]                      0.000      0.013      0.009 
 4282978.766864 [0001]  watchdog/1[14]                      0.000      0.015      0.010 
 4282978.766984 [0004]  <idle>                              0.029      0.000      0.660 
 4282978.767139 [0004]  docker-compose[12141]             100.093      0.011      0.155 
 4282978.767243 [0005]  <idle>                              0.017      0.000     15.419 
 4282978.767265 [0005]  fzf[21278/21277]                   90.161      0.012      0.021 
 4282978.767403 [0004]  <idle>                              0.155      0.000      0.263 
 4282978.767447 [0004]  fzf[21312/21277]                    1.078      0.008      0.044 
 4282978.767479 [0005]  <idle>                              0.021      0.000      0.213 
 4282978.767507 [0005]  fzf[21286/21277]                  100.288      0.049      0.028 
 4282978.770096 [0003]  <idle>                              0.021      0.000     10.103 
 4282978.770118 [0003]  fzf[5656/5655]                     10.103      0.012      0.021 
 4282978.770850 [0003]  <idle>                              0.021      0.000      0.732 
 4282978.770851 [0002]  <idle>                              0.026      0.000     19.046 
 4282978.770858 [0003]  watchdog/3[26]                      0.000      0.013      0.008 
 4282978.770859 [0002]  watchdog/2[20]                      0.000      0.013      0.008 
 4282978.770863 [0007]  <idle>                              0.015      0.000      7.998 
 4282978.770876 [0007]  rcu_sched[8]                        7.998      0.018      0.013 
 4282978.774845 [0005]  <idle>                              0.028      0.000      7.338 
 4282978.774848 [0004]  <idle>                              0.044      0.000      7.400 
 4282978.774854 [0005]  watchdog/5[38]                      0.000      0.012      0.008 
 4282978.774856 [0004]  watchdog/4[32]                      0.000      0.014      0.008 
 4282978.777368 [0005]  <idle>                              0.008      0.000      2.513 
 4282978.777391 [0005]  fzf[21278/21277]                   10.102      0.011      0.023 
 4282978.778864 [0009]  <idle>                              0.012      0.000     59.981 
 4282978.778864 [0006]  <idle>                              0.028      0.000     27.044 
 4282978.778864 [0008]  <idle>                              0.074      0.000     27.074 
 4282978.778865 [0011]  <idle>                              0.062      0.000     49.924 
 4282978.778865 [0010]  <idle>                              0.049      0.000     18.658 
 4282978.778873 [0009]  watchdog/9[62]                      0.000      0.014      0.009 
 4282978.778873 [0006]  watchdog/6[44]                      0.000      0.013      0.009 
 4282978.778873 [0008]  watchdog/8[56]                      0.000      0.013      0.009 
 4282978.778874 [0011]  watchdog/11[74]                     0.000      0.013      0.008 
 4282978.778874 [0010]  watchdog/10[68]                     0.000      0.014      0.008 
 4282978.778887 [0000]  <idle>                              0.009      0.000     12.027 
 4282978.778890 [0007]  <idle>                              0.013      0.000      8.014 
 4282978.778898 [0007]  watchdog/7[50]                      0.000      0.040      0.008 
 4282978.778901 [0000]  rcu_sched[8]                        8.010      0.012      0.014 
 4282978.779243 [0000]  <idle>                              0.014      0.000      0.342 
 4282978.779468 [0000]  sleep[27339]                      100.053      0.006      0.224 
 4282978.779470 [0006]  <idle>                              0.009      0.000      0.596 
 4282978.779479 [0000]  <idle>                              0.224      0.000      0.011 
 4282978.779498 [0000]  kworker/0:0[20729]                115.382      0.003      0.018 
 4282978.780027 [0002]  <idle>                              0.008      0.000      9.167 
 4282978.780677 [0006]  bash[25449]                       101.263      0.010      1.206 
 4282978.780890 [0003]  <idle>                              0.008      0.000     10.032 
 4282978.781856 [0004]  <idle>                              0.008      0.000      7.000 
 4282978.782743 [0005]  <idle>                              0.023      0.000      5.352 
 4282978.782837 [0000]  <idle>                              0.018      0.000      3.339 
 4282978.782852 [0000]  rcu_sched[8]                        3.936      0.026      0.015 
 4282978.783435 [0002]  bash[27340]                         0.000      0.053      3.408 
 4282978.784302 [0001]  <idle>                              0.010      0.000     17.437 
 4282978.784408 [0004]  bash[27342]                         0.000      0.046      2.551 
 4282978.784989 [0005]  base64[27343]                       0.000      0.054      2.245 
 4282978.785852 [0001]  cat[27344]                          0.000      0.046      1.550 
 4282978.786300 [0006]  <idle>                              1.206      0.000      5.623 
 4282978.786330 [0003]  xclip[27341]                        0.000      0.054      5.439 
 4282978.786347 [0006]  Xorg[1930]                        111.570      0.022      0.047 
 4282978.786391 [0003]  <idle>                              5.439      0.000      0.061 
 4282978.786416 [0006]  <idle>                              0.047      0.000      0.068 
 4282978.786418 [0003]  xclip[27341]                        0.061      0.050      0.026 
 4282978.786425 [0006]  Xorg[1930]                          0.068      0.000      0.008 
 4282978.786426 [0003]  <idle>                              0.026      0.000      0.007 
 4282978.786434 [0006]  <idle>                              0.008      0.000      0.009 
 4282978.786435 [0003]  xclip[27341]                        0.007      0.004      0.009 
 4282978.786441 [0006]  Xorg[1930]                          0.009      0.000      0.007 
 4282978.786442 [0003]  <idle>                              0.009      0.000      0.006 
 4282978.786451 [0006]  <idle>                              0.007      0.000      0.009 
 4282978.786453 [0003]  xclip[27341]                        0.006      0.003      0.010 
 4282978.786463 [0006]  Xorg[1930]                          0.009      0.000      0.011 
 4282978.786508 [0003]  <idle>                              0.010      0.000      0.055 
 4282978.786519 [0006]  <idle>                              0.011      0.000      0.056 
 4282978.786520 [0003]  xclip[27341]                        0.055      0.049      0.012 
 4282978.786526 [0006]  Xorg[1930]                          0.056      0.000      0.006 
 4282978.786527 [0003]  <idle>                              0.012      0.000      0.006 
 4282978.786535 [0006]  <idle>                              0.006      0.000      0.008 
 4282978.786536 [0003]  xclip[27341]                        0.006      0.003      0.009 
 4282978.786540 [0003]  <idle>                              0.009      0.000      0.003 
 4282978.786542 [0006]  Xorg[1930]                          0.008      0.000      0.007 
 4282978.786550 [0006]  <idle>                              0.007      0.000      0.007 
 4282978.786551 [0003]  xclip[27341]                        0.003      0.000      0.010 
 4282978.786555 [0003]  <idle>                              0.010      0.000      0.004 
 4282978.786557 [0006]  Xorg[1930]                          0.007      0.000      0.007 
 4282978.786562 [0006]  <idle>                              0.007      0.000      0.004 
 4282978.786562 [0003]  xclip[27341]                        0.004      0.000      0.006 
 4282978.786567 [0003]  <idle>                              0.006      0.000      0.004 
 4282978.786569 [0006]  Xorg[1930]                          0.004      0.000      0.007 
 4282978.786573 [0006]  <idle>                              0.007      0.000      0.004 
 4282978.786574 [0003]  xclip[27341]                        0.004      0.000      0.006 
 4282978.786585 [0003]  <idle>                              0.006      0.000      0.010 
 4282978.786587 [0006]  Xorg[1930]                          0.004      0.000      0.014 
 4282978.786590 [0006]  <idle>                              0.014      0.000      0.002 
 4282978.786591 [0003]  xclip[27341]                        0.010      0.000      0.006 
 4282978.786595 [0003]  <idle>                              0.006      0.000      0.004 
 4282978.786598 [0006]  Xorg[1930]                          0.002      0.000      0.007 
 4282978.786603 [0006]  <idle>                              0.007      0.000      0.005 
 4282978.786604 [0003]  xclip[27341]                        0.004      0.000      0.008 
 4282978.786611 [0006]  Xorg[1930]                          0.005      0.000      0.008 
 4282978.786632 [0010]  <idle>                              0.008      0.000      7.758 
 4282978.786645 [0006]  <idle>                              0.008      0.000      0.034 
 4282978.786648 [0010]  xclip[12460]                      112.578      0.024      0.015 
 4282978.786652 [0003]  <idle>                              0.008      0.000      0.047 
 4282978.786656 [0006]  Xorg[1930]                          0.034      0.000      0.010 
 4282978.786659 [0006]  <idle>                              0.010      0.000      0.002 
 4282978.786660 [0003]  xclip[27341]                        0.047      0.000      0.007 
 4282978.786664 [0003]  <idle>                              0.007      0.000      0.004 
 4282978.786666 [0006]  Xorg[1930]                          0.002      0.000      0.007 
 4282978.786669 [0006]  <idle>                              0.007      0.000      0.003 
 4282978.786670 [0003]  xclip[27341]                        0.004      0.000      0.005 
 4282978.786687 [0003]  <idle>                              0.005      0.000      0.017 
 4282978.786690 [0006]  Xorg[1930]                          0.003      0.000      0.020 
 4282978.786694 [0006]  <idle>                              0.020      0.000      0.003 
 4282978.786694 [0003]  xclip[27341]                        0.017      0.000      0.007 
 4282978.786699 [0003]  <idle>                              0.007      0.000      0.005 
 4282978.786703 [0006]  Xorg[1930]                          0.003      0.000      0.009 
 4282978.786709 [0006]  <idle>                              0.009      0.000      0.006 
 4282978.786710 [0003]  xclip[27341]                        0.005      0.000      0.011 
 4282978.786716 [0003]  <idle>                              0.011      0.000      0.005 
 4282978.786719 [0006]  Xorg[1930]                          0.006      0.000      0.009 
 4282978.786722 [0006]  <idle>                              0.009      0.000      0.003 
 4282978.786760 [0001]  <idle>                              1.550      0.000      0.907 
 4282978.786768 [0006]  Xorg[1930]                          0.003      0.000      0.046 
 4282978.786770 [0001]  cat[27344]                          0.907      0.023      0.010 
 4282978.786795 [0005]  <idle>                              2.245      0.000      1.806 
 4282978.786800 [0005]  base64[27343]                       1.806      0.027      0.004 
 4282978.786861 [0003]  xclip[27341]                        0.005      0.000      0.144 
 4282978.786862 [0001]  <idle>                              0.010      0.000      0.091 
 4282978.786887 [0002]  <idle>                              3.408      0.000      3.451 
 4282978.786895 [0002]  bash[27340]                         3.451      0.027      0.007 
 4282978.786943 [0001]  cat[27344]                          0.091      0.023      0.080 
 4282978.786968 [0004]  <idle>                              2.551      0.000      2.559 
 4282978.787109 [0004]  bash[27342]                         2.559      0.026      0.141 
 4282978.787110 [0005]  <idle>                              0.004      0.000      0.310 
 4282978.787126 [0006]  <idle>                              0.046      0.000      0.358 
 4282978.787133 [0006]  bash[25449]                         6.449      0.000      0.006 
 4282978.787137 [0002]  <idle>                              0.007      0.000      0.241 
 4282978.787143 [0002]  bash[27340]                         0.241      0.029      0.006 
 4282978.787178 [0005]  base64[27343]                       0.310      0.023      0.068 
 4282978.787181 [0005]  <idle>                              0.068      0.000      0.002 
 4282978.787184 [0005]  kworker/5:1[30247]                280.308      0.000      0.003 
 4282978.787207 [0002]  <idle>                              0.006      0.000      0.064 
 4282978.787358 [0006]  <idle>                              0.006      0.000      0.225 
 4282978.787362 [0002]  bash[27340]                         0.064      0.043      0.154 
 4282978.787460 [0000]  <idle>                              0.015      0.000      4.607 
 4282978.787600 [0006]  bash[25449]                         0.225      0.000      0.241 
 4282978.787774 [0000]  sleep[27345]                        0.000      0.001      0.314 
 4282978.790781 [0000]  <idle>                              0.314      0.000      3.006 
 4282978.790784 [0000]  rcu_sched[8]                        7.928      0.002      0.003 
 4282978.794836 [0000]  <idle>                              0.003      0.000      4.052 
 4282978.794842 [0000]  kworker/u24:1[20440]              127.906      0.006      0.006 
 4282978.798837 [0000]  <idle>                              0.006      0.000      3.995 
 4282978.798841 [0000]  rcu_sched[8]                        8.053      0.003      0.003 
 4282978.806876 [0000]  <idle>                              0.003      0.000      8.034 
 4282978.806880 [0000]  rcu_sched[8]                        8.034      0.003      0.004 
 4282978.814854 [0000]  <idle>                              0.004      0.000      7.974 
 4282978.814859 [0000]  rcu_sched[8]                        7.974      0.004      0.004 
 4282978.818854 [0005]  <idle>                              0.003      0.000     31.670 
 4282978.818858 [0005]  rcu_sched[8]                        3.995      0.002      0.004 
 4282978.821236 [0001]  <idle>                              0.080      0.000     34.293 
 4282978.821256 [0001]  nextword[6470/6465]                 0.000      0.003      0.019 
 4282978.821281 [0009]  <idle>                              0.009      0.000     42.407 
 4282978.821335 [0006]  <idle>                              0.241      0.000     33.735 
 4282978.821379 [0007]  <idle>                              0.008      0.000     42.480 
 4282978.821427 [0004]  <idle>                              0.141      0.000     34.317 
 4282978.821434 [0006]  nextword[6474/6465]                 0.000      0.021      0.099 
 4282978.821439 [0004]  nextword[6465]                      0.000      0.034      0.012 
 4282978.821448 [0007]  nextword[3384/6465]                 0.000      0.033      0.068 
 4282978.821463 [0007]  <idle>                              0.068      0.000      0.015 
 4282978.821467 [0009]  nextword[6471/6465]                 0.000      0.029      0.186 
 4282978.821473 [0009]  <idle>                              0.186      0.000      0.005 
 4282978.821475 [0007]  nextword[3384/6465]                 0.015      0.006      0.011 
 4282978.821513 [0009]  nextword[6471/6465]                 0.005      0.002      0.040 
 4282978.821530 [0007]  <idle>                              0.011      0.000      0.055 
 4282978.821534 [0007]  nextword[3384/6465]                 0.055      0.001      0.003 
 4282978.822965 [0003]  <idle>                              0.144      0.000     36.104 
 4282978.823005 [0003]  dockerd[2825/2674]                249.181      0.002      0.039 
 4282978.823012 [0007]  <idle>                              0.003      0.000      1.478 
 4282978.823024 [0007]  dockerd[2820/2674]                249.064      0.037      0.011 
 4282978.823034 [0005]  <idle>                              0.004      0.000      4.175 
 4282978.823036 [0010]  <idle>                              0.015      0.000     36.387 
 4282978.823049 [0005]  dockerd[2833/2674]                249.138      0.039      0.015 
 4282978.823051 [0010]  dockerd[3686/2674]                249.145      0.037      0.014 
 4282978.823095 [0007]  <idle>                              0.011      0.000      0.071 
 4282978.823102 [0007]  dockerd[2820/2674]                  0.071      0.002      0.006 
 4282978.826847 [0005]  <idle>                              0.015      0.000      3.798 
 4282978.826853 [0005]  rcu_sched[8]                        7.988      0.006      0.005 
 4282978.828092 [0005]  <idle>                              0.005      0.000      1.238 
 4282978.828094 [0011]  <idle>                              0.008      0.000     49.220 
 4282978.828111 [0011]  fzf[18638/18636]                   99.153      0.006      0.017 
 4282978.828111 [0005]  fzf[8489/4922]                     99.151      0.005      0.018 
 4282978.829037 [0002]  <idle>                              0.154      0.000     41.674 
 4282978.829039 [0008]  <idle>                              0.009      0.000     50.165 
 4282978.829051 [0008]  fzf[18637/18636]                   90.195      0.006      0.012 
 4282978.829051 [0002]  fzf[4923/4922]                     90.193      0.005      0.014 
 4282978.829223 [0005]  <idle>                              0.018      0.000      1.111 
 4282978.829223 [0011]  <idle>                              0.017      0.000      1.112 
 4282978.829252 [0005]  fzf[8489/4922]                      1.111      0.005      0.029 
 4282978.829252 [0011]  fzf[18638/18636]                    1.112      0.005      0.028 
 4282978.829273 [0001]  <idle>                              0.019      0.000      8.016 
 4282978.829276 [0006]  <idle>                              0.099      0.000      7.841 
 4282978.829286 [0001]  fzf[18646/18636]                  100.277      0.033      0.013 
 4282978.829290 [0006]  fzf[10391/4922]                   100.272      0.036      0.013 
 4282978.831366 [0001]  <idle>                              0.013      0.000      2.080 
 4282978.831377 [0001]  nextword[6470/6465]                10.109      0.004      0.011 
 4282978.834855 [0005]  <idle>                              0.029      0.000      5.603 
 4282978.834863 [0005]  rcu_sched[8]                        8.002      0.010      0.007 
 4282978.837854 [0002]  <idle>                              0.014      0.000      8.803 
 4282978.837909 [0008]  <idle>                              0.012      0.000      8.858 
 4282978.837914 [0002]  containerd[12112/1459]             86.049      0.006      0.059 
 4282978.837941 [0005]  <idle>                              0.007      0.000      3.078 
 4282978.837950 [0008]  containerd[22552/1459]             86.120      0.008      0.040 
