           time    cpu  task name                       wait time  sch delay   run time
                        [tid/pid]                          (msec)     (msec)     (msec)
 4282978.210920 [0000]  rcu_sched[8]                        8.018      0.014      0.013 
 4282978.210961 [0004]  gmain[22809/22808]                  0.000      0.012      0.081 
 4282978.217716 [0011]  <idle>                              0.027      0.000     65.264 
 4282978.218098 [0001]  <idle>                              0.015      0.000     42.381 
 4282978.218098 [0010]  sh[27068]                           0.000      0.054      7.406 
 4282978.218476 [0010]  <idle>                              7.406      0.000      0.378 
 4282978.218487 [0010]  sh[27068]                           0.378      0.022      0.010 
 4282978.218522 [0001]  uname[27070]                        0.000      0.025      0.424 
 4282978.218525 [0001]  <idle>                              0.424      0.000      0.002 
 4282978.218543 [0001]  kworker/1:2[19058]                  0.000      0.000      0.018 
 4282978.218545 [0010]  <idle>                              0.010      0.000      0.057 
 4282978.218604 [0010]  sh[27068]                           0.057      0.037      0.059 
 4282978.218820 [0000]  <idle>                              0.013      0.000      7.900 
 4282978.218822 [0001]  <idle>                              0.018      0.000      0.278 
 4282978.218825 [0001]  rcu_sched[8]                        7.901      0.004      0.003 
 4282978.218827 [0000]  kworker/u24:1[20440]                0.000      0.030      0.006 
 4282978.219147 [0004]  <idle>                              0.081      0.000      8.186 
 4282978.220173 [0011]  sh[27069]                           0.000      0.031      2.457 
 4282978.220174 [0006]  <idle>                              0.067      0.000     70.360 
 4282978.221216 [0007]  <idle>                              0.027      0.000     14.308 
 4282978.221220 [0006]  bash[27072]                         0.000      0.025      1.046 
 4282978.221415 [0008]  <idle>                              0.050      0.000     68.991 
 4282978.221419 [0007]  bash[27073]                         0.000      0.025      0.203 
 4282978.221465 [0009]  <idle>                              0.000      0.000    135.632 
 4282978.221470 [0004]  sh[27071]                           0.000      0.034      2.322 
 4282978.221541 [0009]  sh[27075]                           0.000      0.004      0.075 
 4282978.221550 [0009]  migration/9[63]                     0.000      0.001      0.008 
 4282978.221575 [0010]  <idle>                              0.059      0.000      2.971 
 4282978.221602 [0009]  <idle>                              0.084      0.000      0.052 
 4282978.221638 [0008]  bash[27074]                         0.000      0.025      0.222 
 4282978.221669 [0009]  bash[27076]                         0.000      0.002      0.067 
 4282978.221675 [0009]  migration/9[63]                     0.119      0.001      0.005 
 4282978.221704 [0005]  <idle>                              0.004      0.000     70.837 
 4282978.221716 [0009]  <idle>                              0.073      0.000      0.041 
 4282978.221849 [0004]  <idle>                              2.322      0.000      0.379 
 4282978.221860 [0004]  sh[27071]                           0.379      0.001      0.010 
 4282978.221893 [0004]  <idle>                              0.010      0.000      0.033 
 4282978.221893 [0010]  uname[27075]                        0.033      0.000      0.318 
 4282978.221897 [0010]  <idle>                              0.318      0.000      0.003 
 4282978.221903 [0010]  kworker/10:2[18659]                 0.000      0.000      0.006 
 4282978.221941 [0004]  sh[27071]                           0.033      0.001      0.047 
 4282978.222025 [0007]  <idle>                              0.203      0.000      0.605 
 4282978.222030 [0007]  bash[27073]                         0.605      0.029      0.005 
 4282978.222034 [0005]  dirname[27076]                      0.034      0.000      0.330 
 4282978.222057 [0008]  <idle>                              0.222      0.000      0.418 
 4282978.222148 [0008]  bash[27074]                         0.418      0.023      0.091 
 4282978.222174 [0007]  <idle>                              0.005      0.000      0.143 
 4282978.222264 [0006]  <idle>                              1.046      0.000      1.043 
 4282978.222271 [0006]  bash[27072]                         1.043      0.030      0.006 
 4282978.222295 [0007]  bash[27073]                         0.143      0.030      0.121 
 4282978.222322 [0006]  <idle>                              0.006      0.000      0.051 
 4282978.222918 [0006]  bash[27072]                         0.051      0.031      0.596 
 4282978.222920 [0010]  <idle>                              0.006      0.000      1.017 
 4282978.223179 [0009]  tmux: server[27077]                 0.000      0.002      1.462 
 4282978.223185 [0009]  migration/9[63]                     1.503      0.001      0.006 
 4282978.223212 [0005]  <idle>                              0.330      0.000      1.177 
 4282978.223677 [0007]  <idle>                              0.121      0.000      1.381 
 4282978.224021 [0009]  <idle>                              1.468      0.000      0.835 
 4282978.224034 [0010]  bash[27078]                         0.000      0.029      1.113 
 4282978.224304 [0008]  <idle>                              0.091      0.000      2.156 
 4282978.224315 [0009]  bash[27080]                         0.000      0.002      0.293 
 4282978.224460 [0004]  <idle>                              0.047      0.000      2.518 
 4282978.224524 [0008]  bash[27081]                         0.000      0.023      0.219 
 4282978.224620 [0001]  <idle>                              0.003      0.000      5.794 
